ID,AREA_DESC,ROADNAME,Area,TOTAL_SPACES,DIPPED_FOOTPATH,PARK_SIGN,ROAD_MARKING,OCCUPIED,Adjacent_Services,LAT,LONG
527,Ashleigh Retail Centre Carpark,Castleknock Road,,2, ,TRUE, , ,"Bookmakers, Retail Park, Restaurant, Gym",53.372614311295,-6.36037483456294
528,Ashleigh Retail Centre Carpark,Castleknock Road,,2, , ,TRUE, ,"Bookmakers, Retail Park, Restaurant, Gym",53.3725878062763,-6.3603877541534
529,Coolmine Rugby Club,RIVER ROAD,,2,TRUE, ,TRUE, ,Sports Club,53.3787470139518,-6.34146302234996
530,Coolmine Rugby Club,RIVER ROAD,,2,TRUE, ,TRUE, ,Sports Club,53.3787256910174,-6.34148256340196
531,Fingal Ravens GAA Club,Fingal Ravens Carpark 1,,2, , ,TRUE, ,Sports Club,53.5037270074261,-6.30388432307788
532,Fingal Ravens GAA Club,Fingal Ravens Carpark 2,,2, , ,TRUE, ,Sports Club,53.5037358184327,-6.30393107768738
533,Rowlestown Church,Rowlestown East,,1,TRUE, ,TRUE, ,"Church, Community Centre",53.4901363030749,-6.30086809511259
534,St. Margarets School,St. Margarets,,1,TRUE, ,TRUE, ,"Primary School, Church",53.4303365476567,-6.30089091635987
535,Sports Link Carpark,NA,,10,TRUE, ,TRUE, ,Sports Club,53.4082253831917,-6.24584744625507
536,Sports Link Carpark,NA,,10,TRUE, ,TRUE, ,Sports Club,53.4082298963643,-6.2460000358298
537,Sports Link Carpark,NA,,10, , ,TRUE, ,Sports Club,53.4082304390585,-6.24607264294714
538,Sports Link Carpark,NA,,10, , ,TRUE, ,Sports Club,53.4082327014301,-6.24624053545386
539,Sports Link Carpark,NA,,10,TRUE, ,TRUE, ,Sports Club,53.4082553265543,-6.24630774712726
540,Sports Link Carpark,NA,,10, , ,TRUE, ,Sports Club,53.4082578795398,-6.24647268409697
541,Sports Link Carpark,NA,,10, , ,TRUE, ,Sports Club,53.4082583040123,-6.24654142285377
542,Sports Link Carpark,NA,,10, , ,TRUE, ,Sports Club,53.4082587066077,-6.24671253271148
543,Sports Link Carpark,NA,,10,TRUE, ,TRUE, ,Sports Club,53.4082598794564,-6.24678162576041
544,Sports Link Carpark,NA,,10,TRUE, ,TRUE, ,Sports Club,53.4082556166583,-6.24694292466698
545,Sports Link Carpark,NA,,3, ,TRUE,TRUE, ,Sports Club,53.4081260265858,-6.24725436491272
546,Sports Link Carpark,NA,,3, ,TRUE,TRUE, ,Sports Club,53.4080989608301,-6.24725454520308
